epoch,lstm_loss,lstm_acc,lstm_perfect,lstm_kb,transformer_loss,transformer_acc,transformer_perfect,transformer_kb
0,0.6392578697777367,0.9440732002258301,0.08779999613761902,293.6115334155038,0.3304584151870376,0.999795138835907,0.998199999332428,151.01925190932525
1,0.4125306061676911,0.9963610172271729,0.8693999648094177,155.61175927054137,0.11459239801248391,0.999795138835907,0.998199999332428,28.314010571290055
2,0.2305635030324514,0.999780535697937,0.9975999593734741,65.32297053001821,0.054610496097140845,0.9998000264167786,0.998199999332428,15.922216045476034
3,0.13621800750106186,0.999795138835907,0.998199999332428,29.985170597676188,0.031120976408919296,0.999921977519989,0.9989999532699585,9.893597398290694
4,0.09003051618436674,0.999795138835907,0.998199999332428,15.999360462650657,0.019806003666019534,0.9999561309814453,0.9993999600410461,7.046249575082584
5,0.06491773698900316,0.999795138835907,0.998199999332428,9.83555148774758,0.013658650286562808,0.9999707341194153,0.9995999932289124,4.828218726936939
6,0.04964691201249162,0.999795138835907,0.998199999332428,6.802614620537497,0.009972703862595965,0.9999902844429016,0.9997999668121338,3.762868328920149
7,0.03954376606373219,0.999795138835907,0.998199999332428,5.001417891413439,0.007573570312561096,0.99998539686203,0.9995999932289124,2.895308688168825
8,0.032471325566938096,0.999795138835907,0.998199999332428,3.925581860297825,0.005945891350716562,0.9999951720237732,0.9997999668121338,2.2950388024967197
9,0.02728646395800708,0.999795138835907,0.998199999332428,3.1690395593759604,0.004800051701319468,1.0,1.0,1.8934974636631523
10,0.023300449053446453,0.999795138835907,0.998199999332428,2.706602285092231,0.003938767460134772,1.0,1.0,1.5376017271005367
11,0.020206526306656387,0.999795138835907,0.998199999332428,2.3153282398125157,0.003288004034990305,1.0,1.0,1.2459578862591343
12,0.017717881054730267,0.999795138835907,0.998199999332428,1.9458346276078373,0.0027981153628728293,1.0,1.0,1.2003290525403827
13,0.01568413386951099,0.999795138835907,0.998199999332428,1.8064012854301836,0.00238903467659955,1.0,1.0,0.9076774918773935
14,0.014029453562067317,0.999795138835907,0.998199999332428,1.5197775155538693,0.0020758093208880037,1.0,1.0,0.8369374389669701
15,0.012622855578337585,0.999795138835907,0.998199999332428,1.4146590098680463,0.0018176467941926646,1.0,1.0,0.7322398134142531
16,0.011444157737869401,0.999795138835907,0.998199999332428,1.2212957351148361,0.0016002883230363046,1.0,1.0,0.6001076658182569
17,0.010408792815528235,0.999795138835907,0.998199999332428,1.148304764108616,0.0014244142192620056,1.0,1.0,0.6030984401612329
18,0.009526127594727296,0.999795138835907,0.998199999332428,1.0256191088119522,0.0012744758624930281,1.0,1.0,0.5476243178854929
19,0.008763255120755674,0.999795138835907,0.998199999332428,0.9744429134225356,0.0011524469376326322,1.0,1.0,0.6580125069042708
20,0.008093451111166328,0.999795138835907,0.998199999332428,0.8530961820069933,0.0010334918918731334,1.0,1.0,0.40121129416198187
21,0.007506157011837811,0.999795138835907,0.998199999332428,0.7781573862521327,0.0009391147289070878,1.0,1.0,0.4449879142908344
22,0.006970579338980628,0.999795138835907,0.998199999332428,0.7281695648089226,0.0008511342011295162,1.0,1.0,0.32462034336425916
