noise_level,success_rate
1e-06,1.0
1.9952623149688787e-06,1.0
3.981071705534969e-06,1.0
7.943282347242822e-06,1.0
1.584893192461114e-05,1.0
3.1622776601683795e-05,1.0
6.309573444801929e-05,1.0
0.00012589254117941674,1.0
0.00025118864315095795,1.0
0.000501187233627272,1.0
0.001,1.0
0.001995262314968879,1.0
0.003981071705534969,1.0
0.007943282347242814,1.0
0.01584893192461114,0.72
0.03162277660168379,0.26
0.0630957344480193,0.04
0.12589254117941662,0.06
0.2511886431509577,0.02
0.5011872336272722,0.04
